sequencing_run_name,sample_name,fq_dir,r1_file,r2_file,reaction_group,temperature,replicate,reaction_time,probe,probe_concentration,RT,treated,buffer,construct,done_by
240405_M05164_0164_000000000-LH62L,027-fourU-WT-75c-a-3-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,027-fourU-WT-75c-a-3-p_S27_L001.sub5k_R1.fastq.gz,027-fourU-WT-75c-a-3-p_S27_L001.sub5k_R2.fastq.gz,75_3,75,3,45,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,028-fourU-WT-75c-a-4-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,028-fourU-WT-75c-a-4-p_S28_L001.sub5k_R1.fastq.gz,028-fourU-WT-75c-a-4-p_S28_L001.sub5k_R2.fastq.gz,75_3,75,3,60,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,029-fourU-WT-75c-a-5-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,029-fourU-WT-75c-a-5-p_S29_L001.sub5k_R1.fastq.gz,029-fourU-WT-75c-a-5-p_S29_L001.sub5k_R2.fastq.gz,75_3,75,3,90,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,030-fourU-WT-75c-a-6-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,030-fourU-WT-75c-a-6-p_S30_L001.sub5k_R1.fastq.gz,030-fourU-WT-75c-a-6-p_S30_L001.sub5k_R2.fastq.gz,75_3,75,3,120,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,037-fourU-WT-80c-a-1-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,037-fourU-WT-80c-a-1-p_S37_L001.sub5k_R1.fastq.gz,037-fourU-WT-80c-a-1-p_S37_L001.sub5k_R2.fastq.gz,80_3,80,3,5,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,038-fourU-WT-80c-a-2-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,038-fourU-WT-80c-a-2-p_S38_L001.sub5k_R1.fastq.gz,038-fourU-WT-80c-a-2-p_S38_L001.sub5k_R2.fastq.gz,80_3,80,3,10,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,039-fourU-WT-80c-a-3-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,039-fourU-WT-80c-a-3-p_S39_L001.sub5k_R1.fastq.gz,039-fourU-WT-80c-a-3-p_S39_L001.sub5k_R2.fastq.gz,80_3,80,3,20,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,040-fourU-WT-80c-a-4-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,040-fourU-WT-80c-a-4-p_S40_L001.sub5k_R1.fastq.gz,040-fourU-WT-80c-a-4-p_S40_L001.sub5k_R2.fastq.gz,80_3,80,3,30,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,041-fourU-WT-80c-a-5-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,041-fourU-WT-80c-a-5-p_S41_L001.sub5k_R1.fastq.gz,041-fourU-WT-80c-a-5-p_S41_L001.sub5k_R2.fastq.gz,80_3,80,3,60,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,042-fourU-WT-80c-a-6-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,042-fourU-WT-80c-a-6-p_S42_L001.sub5k_R1.fastq.gz,042-fourU-WT-80c-a-6-p_S42_L001.sub5k_R2.fastq.gz,80_3,80,3,80,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
