environment	name	version	build	license	url	sha256	md5
shapemapper_make	fribidi	1.0.10	h36c2ea0_0	LGPL-2.1	https://conda.anaconda.org/conda-forge/linux-64/fribidi-1.0.10-h36c2ea0_0.tar.bz2	5d7b6c0ee7743ba41399e9e05a58ccc1cfc903942e49ff6f677f6e423ea7a627	ac7bc6a654f8f41b352b38f4051135f8
shapemapper_make	gcc	11.3.0	h02d0930_11	BSD-3-Clause	https://conda.anaconda.org/conda-forge/linux-64/gcc-11.3.0-h02d0930_11.tar.bz2	1946d6c3ea7e98231de51d506c978c00ae97c7b27379ab34a368218d014758c8	6037ebe5f1e3054519ce78b11eec9cd4
shapemapper_make	gcc_impl_linux-64	11.3.0	hab1b70f_19	GPL-3.0-only WITH GCC-exception-3.1	https://conda.anaconda.org/conda-forge/linux-64/gcc_impl_linux-64-11.3.0-hab1b70f_19.tar.bz2	51c6e39148c9da4a9889d34f0daebdf961ca93f032b1e86f621a67ecff2bd915	89ac16d36e66ccb9ca5d34c9217e5799
shapemapper_make	gcc_linux-64	11.3.0	he6f903b_11	BSD-3-Clause	https://conda.anaconda.org/conda-forge/linux-64/gcc_linux-64-11.3.0-he6f903b_11.tar.bz2	c0041b6f805b6b3c01bfb51232b606c9a50a8e0154d17bbf61af36d62c600f00	25f76cb82e483ce96d118b9edffd12c9
shapemapper_make	gdk-pixbuf	2.42.10	h05c8ddd_0	LGPL-2.1-or-later	https://conda.anaconda.org/conda-forge/linux-64/gdk-pixbuf-2.42.10-h05c8ddd_0.conda	a27f49d85e0a730374cc77606e9484b23b0f3edf32df1994b6d7ff5dd44aef92	1a109126a43003d65b39c1cad656bc9b
shapemapper_make	gettext	0.21.1	h27087fc_0	LGPL-2.1-or-later AND GPL-3.0-or-later	https://conda.anaconda.org/conda-forge/linux-64/gettext-0.21.1-h27087fc_0.tar.bz2	4fcfedc44e4c9a053f0416f9fc6ab6ed50644fca3a761126dbd00d09db1f546a	14947d8770185e5153fdd04d4673ed37
shapemapper_make	giflib	5.2.1	h0b41bf4_3	MIT	https://conda.anaconda.org/conda-forge/linux-64/giflib-5.2.1-h0b41bf4_3.conda	41ec165704ccce2faa0437f4f53c03c06261a2cc9ff7614828e51427d9261f4b	96f3b11872ef6fad973eac856cd2624f
shapemapper_make	glib	2.74.1	h6239696_1	LGPL-2.1-or-later	https://conda.anaconda.org/conda-forge/linux-64/glib-2.74.1-h6239696_1.tar.bz2	bc3f1d84e976a62ae8388e3b44f260d867beb7a307c18147048a8301a3c12e47	f3220a9e9d3abcbfca43419a219df7e4
shapemapper_make	glib-tools	2.74.1	h6239696_1	LGPL-2.1-or-later	https://conda.anaconda.org/conda-forge/linux-64/glib-tools-2.74.1-h6239696_1.tar.bz2	029533e2e1cb03a80ae07a0a1a6bdd76b524e8f551d82e832a4d846a77b615c9	5f442e6bc9d89ba236eb25a25c5c2815
shapemapper_make	graphite2	1.3.13	h58526e2_1001	LGPLv2	https://conda.anaconda.org/conda-forge/linux-64/graphite2-1.3.13-h58526e2_1001.tar.bz2	65da967f3101b737b08222de6a6a14e20e480e7d523a5d1e19ace7b960b5d6b1	8c54672728e8ec6aa6db90cf2806d220
shapemapper_make	graphviz	7.1.0	h2e5815a_0	EPL-1.0	https://conda.anaconda.org/conda-forge/linux-64/graphviz-7.1.0-h2e5815a_0.conda	cecaa9e6dce7f2df042768d9a794f0126565a30384fcd59879e107d760bed7f1	e7ecda996c443142a0e9c379f3b28e48
shapemapper_make	gst-plugins-base	1.22.0	h4243ec0_2	LGPL-2.0-or-later	https://conda.anaconda.org/conda-forge/linux-64/gst-plugins-base-1.22.0-h4243ec0_2.conda	e0f3e53f179440a8cdfd38c0b47d175aa560ff1600d43e15e6a6cbdaa7a01da3	0d0c6604c8ac4ad5e51efa7bb58da05c
shapemapper_make	gstreamer	1.22.0	h25f0c4b_2	LGPL-2.0-or-later	https://conda.anaconda.org/conda-forge/linux-64/gstreamer-1.22.0-h25f0c4b_2.conda	b60bf8f5cae60d276e26f9de0f03faddc6dd341c910924ffe0f3c1aa7e0852c7	461541cb1b387c2a28ab6217f3d38502
shapemapper_make	gstreamer-orc	0.4.33	h166bdaf_0	BSD-2-Clause AND BSD-3-Clause	https://conda.anaconda.org/conda-forge/linux-64/gstreamer-orc-0.4.33-h166bdaf_0.tar.bz2	c4fdbaaeb66eed280ef6875c6a4b6916ed168166277e9317fbe25b15d3758897	879c93426c9d0b84a9de4513fbce5f4f
shapemapper_make	gtk2	2.24.33	h90689f9_2	LGPL-2.1-or-later	https://conda.anaconda.org/conda-forge/linux-64/gtk2-2.24.33-h90689f9_2.tar.bz2	66d189ec36d67309fa3eb52d14d77b82359c10303c400eecc14f8eaca5939b87	957a0255ab58aaf394a91725d73ab422
shapemapper_make	gts	0.7.6	h64030ff_2	LGPL-2.0-or-later	https://conda.anaconda.org/conda-forge/linux-64/gts-0.7.6-h64030ff_2.tar.bz2	ed9ae774aa867ad41bb0aa3f4a088f326dec32ab3468040322dbbd6c5bf33b0a	112eb9b5b93f0c02e59aea4fd1967363
shapemapper_make	gxx	11.3.0	h02d0930_11	BSD-3-Clause	https://conda.anaconda.org/conda-forge/linux-64/gxx-11.3.0-h02d0930_11.tar.bz2	3614201ab2f09f27429b7faea7dcd9e24e089a325bca878f76cdd0dca4676520	e47dd4b4e577f03bb6aab18f48be5419
shapemapper_make	gxx_impl_linux-64	11.3.0	hab1b70f_19	GPL-3.0-only WITH GCC-exception-3.1	https://conda.anaconda.org/conda-forge/linux-64/gxx_impl_linux-64-11.3.0-hab1b70f_19.tar.bz2	b86a4d15050c8ad5b8a4273c55f468847d891ceb08f3702408c3a0e921a5b5ea	b73564a352e64bb5f2c9bfd3cd6dd127
shapemapper_make	gxx_linux-64	11.3.0	hc203a17_11	BSD-3-Clause	https://conda.anaconda.org/conda-forge/linux-64/gxx_linux-64-11.3.0-hc203a17_11.tar.bz2	7be17e1fdb200e8b9afe8f4e88b3b821740be6024e433565abda94e5d021c9cb	15fbc9079f191d468403639a6515652c
shapemapper_make	harfbuzz	6.0.0	h8e241bc_0	MIT	https://conda.anaconda.org/conda-forge/linux-64/harfbuzz-6.0.0-h8e241bc_0.conda	f300fcb390253d6d63346ee71e56f82bc830783d1682ac933fe9ac86f39da942	448fe40d2fed88ccf4d9ded37cbb2b38
shapemapper_make	icu	70.1	h27087fc_0	MIT	https://conda.anaconda.org/conda-forge/linux-64/icu-70.1-h27087fc_0.tar.bz2	1d7950f3be4637ab915d886304e57731d39a41ab705ffc95c4681655c459374a	87473a15119779e021c314249d4b4aed
shapemapper_make	jack	1.9.22	h11f4161_0	LGPL-2.0-only	https://conda.anaconda.org/conda-forge/linux-64/jack-1.9.22-h11f4161_0.conda	9f173c6633f7ef049b05cd92a9fc028402972ddc44a56d5bb51d8879d73bbde7	504fa9e712b99494a9cf4630e3ca7d78
shapemapper_make	java-jdk	8.0.112	1	GPL	https://conda.anaconda.org/bioconda/linux-64/java-jdk-8.0.112-1.tar.bz2	9df1f6c5333315da89cfe95a39d941f28aa72db5aff19a8dce00c6f5e61aaf2b	9f9db148bf8d30657576fefa74dc7c98
shapemapper_make	joblib	1.2.0	pyhd8ed1ab_0	BSD-3-Clause	https://conda.anaconda.org/conda-forge/noarch/joblib-1.2.0-pyhd8ed1ab_0.tar.bz2	0c21351871df2c0a53168575597dd9c881e2a9fa4c42fe89a9bcd7fab37f462c	7583652522d71ad78ba536bba06940eb
